"p","wallShearStress:0","wallShearStress:1","wallShearStress:2","Points:0","Points:1","Points:2"
9368.1,-16.635,-33.916,1.701e-16,0.002577,0.009979,0.3
9826.1,-13.731,-28.157,7.57e-18,0.001826,0.008123,0.3
10533,-7.9456,-21.759,2.2006e-16,0.001214,0.006361,0.3
10964,-3.4324,-12.592,1.8311e-16,0.000728,0.004702,0.3
11171,-0.47096,-2.1597,4.7038e-17,0.000364,0.003158,0.3
11062,0.12561,8.8456,1.0221e-16,0.000122,0.001742,0.3
11062,0.12561,8.8456,1.0221e-16,9e-06,0.000461,0.3
10374,-3.9124,29.439,2.46e-16,2.8e-05,-0.000689,0.3
10374,-3.9124,29.439,2.46e-16,0.000183,-0.001728,0.3
9072.1,-16.057,43.248,4.2008e-16,0.000475,-0.002693,0.3
7635.9,-32.403,50.932,5.4129e-16,0.000907,-0.003625,0.3
7635.9,-32.403,50.932,5.4129e-16,0.001485,-0.004573,0.3
7635.9,-32.403,50.932,5.4129e-16,0.002219,-0.005578,0.3
6238.2,-44.749,53.675,4.2758e-16,0.003131,-0.006675,0.3
5079.7,-53.867,53.571,1.6789e-16,0.004249,-0.007884,0.3
5079.7,-53.867,53.571,1.6789e-16,0.005606,-0.009217,0.3
4084.5,-61.632,53.973,1.9755e-16,0.007239,-0.010673,0.3
3015.9,-67.347,48.012,2.2668e-16,0.009182,-0.012249,0.3
3081.2,-66.503,42.695,1.7416e-16,0.011465,-0.013935,0.3
2899.3,-65.903,41.977,1.2839e-16,0.014111,-0.015717,0.3
2404,-68.582,43.618,9.6696e-17,0.017133,-0.017582,0.3
689.64,-82.855,50.303,1.0823e-16,0.020536,-0.019514,0.3
432.79,-76.618,35.233,9.0778e-17,0.024316,-0.021497,0.3
655.23,-73.747,33.643,9.2425e-17,0.028466,-0.023517,0.3
281.26,-75.823,34.56,8.216e-17,0.03297,-0.025557,0.3
-943.99,-87.73,39.869,8.1485e-17,0.037813,-0.027602,0.3
-886.79,-78.539,27.371,8.6722e-17,0.042974,-0.029639,0.3
-932.66,-78.125,27.172,8.3357e-17,0.048432,-0.031656,0.3
-1194.8,-79.24,27.535,7.0764e-17,0.054167,-0.033644,0.3
-1943.8,-85.292,29.569,7.8098e-17,0.06016,-0.035593,0.3
-1968.6,-79.821,21.798,8.2813e-17,0.066392,-0.037498,0.3
-1981,-79.241,21.616,4.2395e-17,0.072847,-0.039354,0.3
-2163.8,-80.091,21.833,4.4434e-17,0.07951,-0.041161,0.3
-2807.8,-85.157,23.183,2.2532e-17,0.086366,-0.042915,0.3
-2906.2,-81.878,17.834,4.8966e-17,0.093405,-0.044617,0.3
-2720.5,-79.715,17.305,2.6346e-17,0.10061,-0.046268,0.3
-2808.1,-79.597,17.259,1.0631e-17,0.10799,-0.047868,0.3
-3293.2,-83.458,18.065,4.3482e-17,0.11551,-0.049418,0.3
-3478.7,-81.029,13.975,2.2255e-17,0.12319,-0.050921,0.3
-3314,-79.185,13.616,1.137e-17,0.13101,-0.052376,0.3
-3361.4,-79.376,13.646,3.2151e-17,0.13898,-0.053784,0.3
-3652.4,-81.273,13.952,5.2778e-18,0.14708,-0.055144,0.3
-4521.6,-85.324,11.957,2.1054e-17,0.15533,-0.056456,0.3
-3863.2,-79.025,10.391,3.1004e-17,0.16373,-0.057716,0.3
-3851.7,-78.655,10.336,2.8807e-18,0.17227,-0.058921,0.3
-4013.2,-79.769,10.47,5.0907e-18,0.18096,-0.060068,0.3
-4522.7,-84.433,11.072,-2.5396e-17,0.18982,-0.06115,0.3
-4366,-79.097,7.3245,-2.9817e-17,0.19883,-0.062163,0.3
-4272.9,-78.235,7.2411,-4.099e-17,0.20801,-0.063102,0.3
-4396,-79.025,7.302,-3.4048e-17,0.21735,-0.063959,0.3
-4779.5,-82.171,7.5833,-1.6677e-17,0.22687,-0.064728,0.3
-4810.7,-78.65,3.9528,-2.0135e-17,0.23655,-0.065404,0.3
-4640.6,-77.307,3.8643,-1.1115e-17,0.2464,-0.065979,0.3
-4688.2,-77.818,3.8849,-2.9156e-17,0.25642,-0.066447,0.3
-4963.8,-80.097,3.9858,-1.6046e-17,0.26659,-0.066803,0.3
-5477.8,-81.173,0.084691,-2.0907e-17,0.27692,-0.067039,0.3
-4826.8,-75.178,0.0053984,-2.5024e-17,0.28737,-0.067151,0.3
-4750.1,-74.818,-0.0019644,-2.6302e-17,0.29795,-0.067134,0.3
-4935.6,-76.705,-0.016408,-1.291e-17,0.30862,-0.066984,0.3
-5628.3,-79.237,-4.0856,-8.4311e-18,0.31937,-0.0667,0.3
-4638.9,-70.424,-3.7832,5.4875e-18,0.33018,-0.066282,0.3
-4431.1,-69.256,-3.7266,-8.9891e-18,0.34102,-0.065735,0.3
-4374.7,-69.322,-3.7409,-1.846e-18,0.35186,-0.065064,0.3
-4678.3,-73.616,-4.1881,-7.0579e-18,0.3627,-0.064274,0.3
-4088.1,-63.749,-6.4535,1.1022e-17,0.3735,-0.063374,0.3
-3760.1,-61.83,-6.2673,2.4286e-17,0.38424,-0.062374,0.3
-3538.9,-60.517,-6.1393,4.2961e-17,0.3949,-0.061284,0.3
-3517.1,-61.206,-6.2139,7.0214e-18,0.40547,-0.060114,0.3
-3385.1,-57.666,-7.9645,6.2786e-17,0.41592,-0.058876,0.3
-2915.1,-54.288,-7.5308,4.571e-17,0.42623,-0.057581,0.3
-2640.5,-52.77,-7.3226,5.6148e-17,0.4364,-0.05624,0.3
-2443,-51.546,-7.1554,2.8904e-17,0.4464,-0.054865,0.3
-2297.9,-50.968,-7.0808,3.5176e-17,0.45624,-0.053465,0.3
-2102.5,-48.34,-7.6544,3.5548e-17,0.46589,-0.052051,0.3
-1826.6,-46.769,-7.4133,2.3869e-17,0.47536,-0.05063,0.3
-1600.4,-45.541,-7.2157,3.3048e-17,0.48464,-0.049209,0.3
-1436.5,-44.491,-7.051,3.3943e-17,0.49374,-0.047794,0.3
-1260.2,-43.454,-6.8875,3.6225e-17,0.50266,-0.046389,0.3
-1138.1,-43.005,-6.8163,3.9546e-17,0.51141,-0.044995,0.3
-940.74,-41.118,-6.7909,5.1728e-17,0.52,-0.043615,0.3
-794.89,-40.269,-6.645,3.9014e-17,0.52844,-0.042248,0.3
-647.88,-39.541,-6.5276,4.1906e-17,0.53675,-0.040894,0.3
-510.47,-38.753,-6.401,5.0749e-17,0.54495,-0.03955,0.3
-223.2,-36.792,-6.0751,4.871e-17,0.56107,-0.036887,0.3
10.361,-35.681,-5.8213,5.1245e-17,0.57698,-0.034237,0.3
229.44,-34.423,-5.6147,5.4116e-17,0.59284,-0.031582,0.3
455.5,-32.867,-5.3589,4.8983e-17,0.60882,-0.028907,0.3
701.7,-31.897,-4.9235,5.8145e-17,0.62509,-0.026208,0.3
778.34,-31.481,-4.8563,5.1666e-17,0.63338,-0.024852,0.3
864.85,-31.017,-4.7837,4.9541e-17,0.64178,-0.023495,0.3
990.4,-30.153,-4.6509,4.5736e-17,0.65031,-0.022138,0.3
1084.2,-29.6,-4.5645,5.7368e-17,0.65899,-0.020787,0.3
1187.5,-28.839,-4.444,3.9542e-17,0.66782,-0.019443,0.3
1309.4,-28.645,-4.01,4.6911e-17,0.6768,-0.018111,0.3
1375.4,-28.402,-3.9662,5.6016e-17,0.68593,-0.016794,0.3
1440.5,-28.021,-3.9131,6.438e-17,0.69521,-0.015497,0.3
1538.4,-27.381,-3.8251,1.0052e-16,0.70463,-0.014223,0.3
1642.6,-26.608,-3.7154,6.3055e-17,0.71417,-0.012976,0.3
1835.9,-26.19,-3.1588,3.9371e-17,0.73358,-0.010572,0.3
1960,-25.375,-3.0584,4.6918e-17,0.75322,-0.008306,0.3
2153.1,-23.733,-2.855,5.4365e-17,0.77283,-0.006188,0.3
2219.7,-24.333,-2.368,3.5573e-17,0.78253,-0.005188,0.3
2252.9,-24.247,-2.3575,5.4235e-17,0.79213,-0.00423,0.3
2307.1,-23.838,-2.3162,7.1874e-17,0.8016,-0.003316,0.3
